# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 20.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   5.1574961818   5.1574961818   2.82683  4.24067   -0.7569  -0.8551  -0.5714  -0.5595
   5.1933649490   5.1933649490   2.83846  4.24234   -0.7761  -0.8749  -0.5897  -0.5776
   5.2292337163   5.2292337163   2.85002  4.24400   -0.7953  -0.8946  -0.6079  -0.5955
   5.2651024835   5.2651024835   2.86153  4.24565   -0.8144  -0.9142  -0.6261  -0.6134
   5.3009712508   5.3009712508   2.87297  4.24729   -0.8335  -0.9337  -0.6441  -0.6313
   5.3368400180   5.3368400180   2.88436  4.24891   -0.8524  -0.9531  -0.6622  -0.6490
   5.3727087853   5.3727087853   2.89570  4.25053   -0.8713  -0.9725  -0.6802  -0.6667
   5.4085775525   5.4085775525   2.90698  4.25213   -0.8902  -0.9918  -0.6981  -0.6844
   5.4444463198   5.4444463198   2.91820  4.25371   -0.9090  -1.0110  -0.7160  -0.7020
   5.4803150870   5.4803150870   2.92937  4.25529   -0.9277  -1.0302  -0.7338  -0.7196
   5.5161838543   5.5161838543   2.94041  4.25684   -0.9462  -1.0492  -0.7515  -0.7370
   5.5520526215   5.5520526215   2.95132  4.25836   -0.9646  -1.0681  -0.7690  -0.7543
   5.5879213888   5.5879213888   2.96217  4.25986   -0.9830  -1.0869  -0.7865  -0.7715
   5.6237901560   5.6237901560   2.97298  4.26136   -1.0013  -1.1056  -0.8039  -0.7887
   5.6596589233   5.6596589233   2.98373  4.26284   -1.0196  -1.1243  -0.8213  -0.8059
   5.6955276905   5.6955276905   2.99444  4.26431   -1.0377  -1.1429  -0.8387  -0.8230
   5.7313964577   5.7313964577   3.00509  4.26577   -1.0559  -1.1615  -0.8560  -0.8401
   5.7672652250   5.7672652250   3.01571  4.26722   -1.0740  -1.1800  -0.8733  -0.8571
   5.8031339922   5.8031339922   3.02628  4.26866   -1.0921  -1.1985  -0.8905  -0.8741
   5.8390027595   5.8390027595   3.03680  4.27009   -1.1101  -1.2169  -0.9077  -0.8911
   5.8748715267   5.8748715267   3.04729  4.27151   -1.1281  -1.2353  -0.9249  -0.9080
   5.9107402940   5.9107402940   3.05772  4.27292   -1.1460  -1.2537  -0.9420  -0.9249
   5.9466090612   5.9466090612   3.06812  4.27431   -1.1639  -1.2719  -0.9591  -0.9418
   5.9824778285   5.9824778285   3.07847  4.27570   -1.1818  -1.2902  -0.9762  -0.9586
   6.0183465957   6.0183465957   3.08871  4.27707   -1.1995  -1.3083  -0.9931  -0.9753
   6.0542153630   6.0542153630   3.09884  4.27841   -1.2170  -1.3263  -1.0099  -0.9919
   6.0900841302   6.0900841302   3.10893  4.27975   -1.2345  -1.3442  -1.0266  -1.0084
   6.1259528975   6.1259528975   3.11898  4.28107   -1.2520  -1.3620  -1.0434  -1.0250
   6.1618216647   6.1618216647   3.12899  4.28239   -1.2695  -1.3798  -1.0601  -1.0414
   6.1976904320   6.1976904320   3.13897  4.28369   -1.2869  -1.3976  -1.0768  -1.0579
